Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
0, SHITOMASI, BRISK, 1370, 125, 24.7568, 1.8014, 0, 0
1, SHITOMASI, BRISK, 1301, 118, 19.6316, 2.62401, 95, 0.876724
2, SHITOMASI, BRISK, 1361, 123, 20.3975, 2.56856, 88, 0.539956
3, SHITOMASI, BRISK, 1358, 120, 18.8994, 2.58918, 80, 0.587613
4, SHITOMASI, BRISK, 1333, 120, 18.4958, 2.59147, 90, 0.54851
5, SHITOMASI, BRISK, 1284, 113, 20.2093, 2.46429, 82, 0.565952
6, SHITOMASI, BRISK, 1322, 114, 19.3326, 2.46438, 79, 0.52028
7, SHITOMASI, BRISK, 1366, 123, 17.8715, 2.62263, 85, 0.53683
8, SHITOMASI, BRISK, 1389, 111, 19.5268, 2.48384, 86, 0.593587
9, SHITOMASI, BRISK, 1339, 112, 18.7342, 2.58174, 82, 0.509205

0, SHITOMASI, BRIEF, 1370, 125, 18.7128, 2.00086, 0, 0
1, SHITOMASI, BRIEF, 1301, 118, 18.7822, 1.8231, 115, 0.538842
2, SHITOMASI, BRIEF, 1361, 123, 17.9533, 1.56145, 111, 0.485467
3, SHITOMASI, BRIEF, 1358, 120, 17.8831, 1.55311, 104, 0.519809
4, SHITOMASI, BRIEF, 1333, 120, 18.2652, 1.5519, 101, 0.474765
5, SHITOMASI, BRIEF, 1284, 113, 17.6838, 1.57285, 102, 0.481085
6, SHITOMASI, BRIEF, 1322, 114, 19.49, 1.60259, 102, 0.443334
7, SHITOMASI, BRIEF, 1366, 123, 19.3909, 1.60887, 100, 0.550444
8, SHITOMASI, BRIEF, 1389, 111, 20.7917, 1.59431, 109, 0.477288
9, SHITOMASI, BRIEF, 1339, 112, 20.423, 1.56514, 100, 0.44361

0, SHITOMASI, ORB, 1370, 125, 18.9777, 1.29832, 0, 0
1, SHITOMASI, ORB, 1301, 118, 20.4428, 1.06494, 106, 0.549589
2, SHITOMASI, ORB, 1361, 123, 20.8419, 1.01388, 102, 0.568656
3, SHITOMASI, ORB, 1358, 120, 20.0996, 1.26001, 99, 0.727245
4, SHITOMASI, ORB, 1333, 120, 19.7945, 1.46611, 102, 0.538995
5, SHITOMASI, ORB, 1284, 113, 20.6183, 1.21909, 103, 0.519745
6, SHITOMASI, ORB, 1322, 114, 19.0557, 1.16614, 97, 0.517015
7, SHITOMASI, ORB, 1366, 123, 19.6843, 1.22148, 98, 0.522493
8, SHITOMASI, ORB, 1389, 111, 20.1881, 1.24352, 104, 0.520341
9, SHITOMASI, ORB, 1339, 112, 20.7796, 1.18886, 97, 0.496909

0, SHITOMASI, FREAK, 1370, 125, 20.4783, 53.1553, 0, 0
1, SHITOMASI, FREAK, 1301, 118, 19.1871, 47.9732, 86, 0.542331
2, SHITOMASI, FREAK, 1361, 123, 13.5149, 49.8253, 90, 0.530833
3, SHITOMASI, FREAK, 1358, 120, 11.8995, 48.1765, 86, 0.535274
4, SHITOMASI, FREAK, 1333, 120, 13.7224, 47.4646, 88, 0.52013
5, SHITOMASI, FREAK, 1284, 113, 13.2196, 48.8403, 86, 0.515742
6, SHITOMASI, FREAK, 1322, 114, 13.9392, 48.8938, 80, 0.481177
7, SHITOMASI, FREAK, 1366, 123, 12.4634, 48.904, 81, 0.515744
8, SHITOMASI, FREAK, 1389, 111, 12.3164, 47.6602, 86, 0.639095
9, SHITOMASI, FREAK, 1339, 112, 14.4903, 49.315, 85, 0.450553

0, SHITOMASI, SIFT, 1370, 125, 12.9284, 20.94, 0, 0
1, SHITOMASI, SIFT, 1301, 118, 12.5303, 18.2996, 112, 0.779873
2, SHITOMASI, SIFT, 1361, 123, 13.0348, 20.6963, 109, 0.60591
3, SHITOMASI, SIFT, 1358, 120, 12.4255, 19.5729, 104, 0.713684
4, SHITOMASI, SIFT, 1333, 120, 19.9688, 20.7444, 103, 0.687999
5, SHITOMASI, SIFT, 1284, 113, 12.115, 19.0688, 99, 0.683654
6, SHITOMASI, SIFT, 1322, 114, 20.2193, 16.4519, 101, 0.661344
7, SHITOMASI, SIFT, 1366, 123, 11.9327, 18.4478, 96, 0.686823
8, SHITOMASI, SIFT, 1389, 111, 12.3432, 18.4469, 106, 0.676406
9, SHITOMASI, SIFT, 1339, 112, 13.8521, 15.6785, 97, 0.596766

0, HARRIS, BRISK, 115, 0, 19.7512, 0.31191, 0, 0
1, HARRIS, BRISK, 98, 0, 13.3602, 0.315461, 0, 0.008421
2, HARRIS, BRISK, 113, 0, 13.4632, 0.310557, 0, 0.008698
3, HARRIS, BRISK, 121, 0, 13.4247, 0.311563, 0, 0.008591
4, HARRIS, BRISK, 160, 0, 14.6421, 0.323029, 0, 0.008554
5, HARRIS, BRISK, 383, 0, 35.055, 0.347619, 0, 0.007889
6, HARRIS, BRISK, 85, 0, 15.0038, 0.323051, 0, 0.009128
7, HARRIS, BRISK, 210, 0, 16.3741, 0.319158, 0, 0.008256
8, HARRIS, BRISK, 171, 0, 20.4823, 0.323707, 0, 0.01077
9, HARRIS, BRISK, 281, 0, 21.1918, 0.311928, 0, 0.007915

0, HARRIS, BRIEF, 115, 0, 13.9437, 0.308096, 0, 0
1, HARRIS, BRIEF, 98, 0, 12.2487, 0.26519, 0, 0.007582
2, HARRIS, BRIEF, 113, 0, 13.0823, 0.274119, 0, 0.00788
3, HARRIS, BRIEF, 121, 0, 12.7366, 0.278197, 0, 0.008
4, HARRIS, BRIEF, 160, 0, 13.3042, 0.280195, 0, 0.008152
5, HARRIS, BRIEF, 383, 0, 43.0739, 0.375285, 0, 0.009323
6, HARRIS, BRIEF, 85, 0, 18.0363, 0.341136, 0, 0.009225
7, HARRIS, BRIEF, 210, 0, 23.4172, 0.380214, 0, 0.009581
8, HARRIS, BRIEF, 171, 0, 22.0283, 0.398288, 0, 0.009251
9, HARRIS, BRIEF, 281, 0, 30.8318, 0.450883, 0, 0.009798

0, HARRIS, ORB, 115, 0, 12.7602, 0.15703, 0, 0
1, HARRIS, ORB, 98, 0, 12.8013, 0.141569, 0, 0.007487
2, HARRIS, ORB, 113, 0, 12.9398, 0.155672, 0, 0.006817
3, HARRIS, ORB, 121, 0, 13.2214, 0.151803, 0, 0.007321
4, HARRIS, ORB, 160, 0, 15.197, 0.16843, 0, 0.008454
